"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","annotation_label","annotation_label_id","cell_label2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"Club (Nasal)","AZ:0000377","club cell:nasal"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"Club (Non-Nasal)","AZ:0000380","club cell:tracheobronchial"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002144","EC general capillary",317.304,0.0662540716612378,"EC general capillary",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000492","CD4 T cells",712,0.0201791180138306,"Htcell1","AZ:0000537","CD4-positive helper T cell:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000492","CD4 T cells",712,0.0201791180138306,"Htcell2","AZ:0000538","CD4-positive helper T cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:1000413","EC arterial",11138,0.0196039778227581,"EC arterial",NA,NA
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002138","Lymphatic EC differentiating",149.247,0.0195569620253165,"Lymphatic Ec Mature","AZ:0000329","endothelial cell of lymphatic vessel:mature"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002138","Lymphatic EC differentiating",149.247,0.0195569620253165,"Lymphatic Ec Differentiating","AZ:0000331","endothelial cell of lymphatic vessel:differentiating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002138","Lymphatic EC differentiating",149.247,0.0195569620253165,"Lymphatic Ec Proliferating","AZ:0000336","endothelial cell of lymphatic vessel:proliferating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002138","Lymphatic EC differentiating",149.247,0.0195569620253165,"Hlec1","AZ:0000518","endothelial cell of lymphatic vessel:1"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002138","Lymphatic EC differentiating",149.247,0.0195569620253165,"Hlec2","AZ:0000519","endothelial cell of lymphatic vessel:2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000236","B cells",309.468,0.0281012658227848,"B Cells","AZ:0000080","B cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000236","B cells",309.468,0.0281012658227848,"B Activated","AZ:0000658","B cell:activated"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000492","CD4 T cells",393.645,0.0515822784810127,"Htcell1","AZ:0000537","CD4-positive helper T cell:1"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000492","CD4 T cells",393.645,0.0515822784810127,"Htcell2","AZ:0000538","CD4-positive helper T cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000576","Classical monocytes",32.76,0.00684039087947883,"Hmono1","AZ:0000528","monocyte:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000576","Classical monocytes",32.76,0.00684039087947883,"Hmono2","AZ:0000529","monocyte:2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000084","T cells proliferating",14,0.000886075949367089,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000084","T cells proliferating",14,0.000886075949367089,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000084","T cells proliferating",14,0.000886075949367089,"T Proliferating","AZ:0000477","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000084","T cells proliferating",14,0.000886075949367089,"Cycling T","AZ:0000559","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000084","T cells proliferating",14,0.000886075949367089,"Cycling T","AZ:0000673","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"Club (Nasal)","AZ:0000085","club cell:nasal"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"Club (Non-Nasal)","AZ:0000086","club cell:non-nasal"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"Transitional Club At2","AZ:0000127","club cell:transitional alveolar type 2 epithelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"Transitional Club At2","AZ:0000360","club:transitional AT2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"Club (Nasal)","AZ:0000377","club cell:nasal"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"Club (Non-Nasal)","AZ:0000380","club cell:tracheobronchial"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000084","T cells proliferating",3,0.0000850243736537807,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000084","T cells proliferating",3,0.0000850243736537807,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000084","T cells proliferating",3,0.0000850243736537807,"T Proliferating","AZ:0000477","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000084","T cells proliferating",3,0.0000850243736537807,"Cycling T","AZ:0000559","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000084","T cells proliferating",3,0.0000850243736537807,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000097","Mast cells",8.694,0.00113924050632911,"Mast Cells","AZ:0000104","mast cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0002144","EC general capillary",2532,0.071760571363791,"EC general capillary",NA,NA
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4028003","EC aerocyte capillary",138.006,0.0125316455696202,"Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000084","T cells proliferating",0.78,0.000162866449511401,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000084","T cells proliferating",0.78,0.000162866449511401,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000084","T cells proliferating",0.78,0.000162866449511401,"T Proliferating","AZ:0000477","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000084","T cells proliferating",0.78,0.000162866449511401,"Cycling T","AZ:0000559","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000084","T cells proliferating",0.78,0.000162866449511401,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"Club (Nasal)","AZ:0000085","club cell:nasal"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"Club (Non-Nasal)","AZ:0000086","club cell:non-nasal"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"Transitional Club At2","AZ:0000127","club cell:transitional alveolar type 2 epithelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"Transitional Club At2","AZ:0000360","club:transitional AT2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"Club (Nasal)","AZ:0000377","club cell:nasal"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"Club (Non-Nasal)","AZ:0000380","club cell:tracheobronchial"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Cdc2_1","AZ:0000222","CD1c-positive myeloid dendritic cell:1"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Cdc2_2","AZ:0000223","CD1c-positive myeloid dendritic cell:2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Adc2","AZ:0000541","CD1c-positive myeloid dendritic cell:2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Adc3","AZ:0000542","CD1c-positive myeloid dendritic cell:3"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Dc2","AZ:0000563","CD1c-positive myeloid dendritic cell:2"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Dc3","AZ:0000564","CD1c-positive myeloid dendritic cell:3"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Dc4","AZ:0000565","CD1c-positive myeloid dendritic cell:4"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"Dc5","AZ:0000566","CD1c-positive myeloid dendritic cell:5"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000583","Alveolar macrophages",1213,0.034378188414012,"Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000583","Alveolar macrophages",1213,0.034378188414012,"Alveolar M_ Proliferating","AZ:0000076","alveolar macrophage:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000583","Alveolar macrophages",1213,0.034378188414012,"Alveolar M_ Proliferating","AZ:0000379","alveolar macrophage:proliferating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002144","EC general capillary",729.062,0.0662025316455696,"EC general capillary",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002138","Lymphatic EC mature",11062.92,0.00795109638599608,"Lymphatic Ec Mature","AZ:0000329","endothelial cell of lymphatic vessel:mature"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002138","Lymphatic EC mature",11062.92,0.00795109638599608,"Lymphatic Ec Differentiating","AZ:0000331","endothelial cell of lymphatic vessel:differentiating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002138","Lymphatic EC mature",11062.92,0.00795109638599608,"Lymphatic Ec Proliferating","AZ:0000336","endothelial cell of lymphatic vessel:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002138","Lymphatic EC mature",11062.92,0.00795109638599608,"Hlec1","AZ:0000518","endothelial cell of lymphatic vessel:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0002138","Lymphatic EC mature",11062.92,0.00795109638599608,"Hlec2","AZ:0000519","endothelial cell of lymphatic vessel:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000913","CD8 T cells",305.604,0.0638110749185668,"Cd8 Tf","AZ:0000549","effector memory CD8-positive, alpha-beta T cell:follicular"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000913","CD8 T cells",305.604,0.0638110749185668,"Ifn+ Cd8 T","AZ:0000589","effector memory CD8-positive, alpha-beta T cell:Interferon positive"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000913","CD8 T cells",305.604,0.0638110749185668,"Rm Cd8 Activated T","AZ:0000640","effector memory CD8-positive, alpha-beta T cell:activated resident memory"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000913","CD8 T cells",305.604,0.0638110749185668,"Rm Cd8 T","AZ:0000641","effector memory CD8-positive, alpha-beta T cell:resident memory"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000492","CD4 T cells",230.724,0.0481758957654723,"Htcell1","AZ:0000537","CD4-positive helper T cell:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000492","CD4 T cells",230.724,0.0481758957654723,"Htcell2","AZ:0000538","CD4-positive helper T cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000492","CD4 T cells",77215.355,0.0554959025360307,"Htcell1","AZ:0000537","CD4-positive helper T cell:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000492","CD4 T cells",77215.355,0.0554959025360307,"Htcell2","AZ:0000538","CD4-positive helper T cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Cdc2_1","AZ:0000222","CD1c-positive myeloid dendritic cell:1"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Cdc2_2","AZ:0000223","CD1c-positive myeloid dendritic cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Adc2","AZ:0000541","CD1c-positive myeloid dendritic cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Adc3","AZ:0000542","CD1c-positive myeloid dendritic cell:3"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Dc2","AZ:0000563","CD1c-positive myeloid dendritic cell:2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Dc3","AZ:0000564","CD1c-positive myeloid dendritic cell:3"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Dc4","AZ:0000565","CD1c-positive myeloid dendritic cell:4"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002399","DC2",106.08,0.0221498371335505,"Dc5","AZ:0000566","CD1c-positive myeloid dendritic cell:5"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000583","Alveolar macrophages",2084.83,0.00149840044747826,"Alveolar Macrophages","AZ:0000073","alveolar macrophage"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000583","Alveolar macrophages",2084.83,0.00149840044747826,"Alveolar M_ Proliferating","AZ:0000076","alveolar macrophage:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000583","Alveolar macrophages",2084.83,0.00149840044747826,"Alveolar M_ Proliferating","AZ:0000379","alveolar macrophage:proliferating"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000236","B cells",214.452,0.0281012658227848,"B Cells","AZ:0000080","B cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000236","B cells",214.452,0.0281012658227848,"B Activated","AZ:0000658","B cell:activated"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:1000413","EC arterial",88,0.00556962025316456,"EC arterial",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0009089","Pericytes",19100.29,0.0137276819131366,"Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"Nk Cells","AZ:0000112","natural killer cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"Nk Proliferating","AZ:0000234","natural killer cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"Nk Proliferating","AZ:0000422","natural killer cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"Nk Proliferating","AZ:0000467","natural killer cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"Cd16-Cd56dim Nk","AZ:0000547","natural killer cell:CD16-negative, CD56-dim"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000623","NK cells",557,0.000980374900994456,"Cd16+Cd56- Nk","AZ:0000548","natural killer cell:CD16-positive, CD56-negative"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000786","Plasma cells",924.475,0.000664434871755714,"Plasma Cells","AZ:0000116","plasma cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000786","Plasma cells",924.475,0.000664434871755714,"Early Pc Precursor","AZ:0000578","plasma cell: early precursor"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000786","Plasma cells",924.475,0.000664434871755714,"Pc Committed Light Zone Gcbc","AZ:0000630","plasma cell:committed light zone germinal center B cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000786","Plasma cells",924.475,0.000664434871755714,"Pc/Doublet","AZ:0000693","plasma cell:doublet"
